register_number,company_name,corp_number,office_type,business_type,valid_period,representative,address_jibun,address_road,phone,ad_phone,register_agency,operation_status
2008-서울특별시-00096(대부업),대우사 전당포대부,,본점,금전대부,2023.05.26~2026.05.26,조동기,서울특별시 노원구 하계동 271-3 신한은행,"서울특별시 노원구 섬밭로 209, 벽산상가 제지하층 129-1호 (하계동)",02-977-4752,"02-933-7636, 02-978-3157, 02-3296-6194",지방자치단체,영업중
2008-서울특별시-00611(대부업),한진사전당포대부,,본점,금전대부,2023.05.26~2026.05.26,유은숙,서울특별시 노원구 공릉동 754번지 공릉삼익2차아파트,"서울특별시 노원구 공릉로34길 118, 상가 201호 (공릉동, 공릉삼익2차아파트)",02-976-1522,,지방자치단체,영업중
2017-서울동대문-0035(대부업),희망사전당포대부,,본점,금전대부,2023.05.11~2026.05.11,남종원,서울특별시 동대문구 답십리동 1001번지 한신 휴플러스 그린파크 101동 801호,"서울특별시 동대문구 왕산로 178, 5층 502호 (전농동, 대일빌딩)",02-966-6674,02-966-6674,지방자치단체,영업중
2011-서울동작-00021(대부업),한일사전당포 대부,,본점,금전대부,2023.04.17~2026.04.17,박태희,서울특별시 동작구 노량진동 41-5,"서울특별시 동작구 노량진로 110, 306호 (노량진동)",02-813-4033,02-813-4033,지방자치단체,영업중
2011-서울동작-00045(대부업),성대사전당포 대부,,본점,금전대부,2023.07.10~2026.07.10,김인탁,서울특별시 동작구 상도동 348-170,"서울특별시 동작구 상도로 105, 2층 (상도동)",028137222,,지방자치단체,영업중
2014-서울마포-0030(대부업),형제사전당포대부,,본점,금전대부,2022.12.16~2025.12.16,서형재,서울특별시 마포구 노고산동 49번지 18호,"서울특별시 마포구 신촌로 76, 3층 (노고산동)",02-325-5553,"02-325-5553, 010-8873-0032",지방자치단체,영업중
2014-서울마포-0027(대부업),장성네트워크대부(주),110111-2030403,본점,금전대부,2023.02.09~2026.02.09,정광현,서울특별시 마포구 공덕동 404 풍림브이아이피텔,"서울특별시 마포구 마포대로 127, 풍림브이아이피텔 1003호 (공덕동)",02-717-1133,"02-717-1133, 02-717-5050, 010-6320-3522",지방자치단체,영업중
2014-서울마포-0037(대부업),합우사전당포대부,,본점,금전대부,2023.03.06~2026.03.06,이재현,서울특별시 마포구 합정동 374번지 1호 3층 305호,"서울특별시 마포구 양화로 36, 3층 305호 (합정동)",02-337-2717,"02-337-2717, 010-3695-5134",지방자치단체,영업중
2014-서울마포-0042(대부업),한성대부,,본점,금전대부,2023.04.03~2026.04.03,정영례,서울특별시 마포구 노고산동 54번지 45호,서울특별시 마포구 신촌로12나길 12 (노고산동),02-766-3200,"02-766-3200, 02-374-2001, 010-4750-4470",지방자치단체,영업중
2011-서울서초-0110(대부업),제일사전당포(대부),,본점,금전대부,2023.03.09~2026.03.09,김영길,서울특별시 서초구 잠원동 69번지 21호 반포쇼핑센타 7동 205A호,"서울특별시 서초구 신반포로 213, 7동 205A호 (잠원동, 반포쇼핑센타 )",02-537-5727,02-537-5727,지방자치단체,영업중
2011-서울서초-0124(대부업),(주)로얄골드,110111-2599087,본점,금전대부,2023.05.09~2026.05.09,김재환,서울특별시 서초구 잠원동 12번지 21호 금정빌딩 1층,"서울특별시 서초구 강남대로 615, 1층 (잠원동, 금정빌딩)",02-515-8899,02-515-8899,지방자치단체,영업중
2011-서울서초-0106(대부업),경남사전당포대부,,본점,금전대부,2023.04.10~2026.04.10,최영진,"서울특별시 서초구 잠원동 75번지 19호 반포쇼핑타운 3동 3층 31호,32호","서울특별시 서초구 신반포로 177, 반포쇼핑타운 3동 3층 31호,32호 (잠원동)",02-533-1064,02-533-1064,지방자치단체,영업중
2011-서울서초-0153(대부업),퍼스트캐시전당포대부,,본점,금전대부,2023.02.23~2026.02.23,이정순,서울특별시 서초구 반포동 32-2 동화반포프라자 2층 208-2호,"서울특별시 서초구 서초중앙로 230, 동화반포프라자 2층 208-2호 (반포동)",02-593-1795,02-593-1795,지방자치단체,영업중
2011-서울서초-0187(대부업),(주)신광드림투자대부,110111-2767444,본점,금전대부,2023.05.18~2026.05.18,한명순,서울특별시 서초구 서초동 1588번지 7호 석탑오피스텔 311호,"서울특별시 서초구 효령로53길 18, 311호 (서초동, 석탑오피스텔)",02-2055-0061,02-2055-0061,지방자치단체,영업중
2011-서울서초-0191(대부업),(주)베리온대부,110111-3321695,본점,금전대부,2023.06.08~2026.06.08,권대희,서울특별시 서초구 서초동 1319번지 13호 현대타워 1007호,"서울특별시 서초구 강남대로 375, 1007호 (서초동, 현대타워)",02-581-7088,02-581-7088,지방자치단체,영업중
2011-서울서초-0171(대부업),무지개사전당포대부,,본점,금전대부,2023.03.09~2026.03.09,김병식,서울특별시 서초구 서초동 1332-2 대한무지개종합상가 62호,"서울특별시 서초구 사임당로 151, 대한무지개종합상가 1층 62호 (서초동)",02-3473-7043,02-3473-7043,지방자치단체,영업중
2011-서울성동-0031(대부업),삼흥사전당포대부,,본점,금전대부,2023.04.24~2026.04.24,김종인,,"서울특별시 성동구 광나루로 337, 3층 (송정동)",02-466-8451,,지방자치단체,영업중
2011-서울성동-0023(대부업),열린미래대부,,본점,금전대부,2023.02.20~2026.02.20,이진형,서울특별시 성동구 도선동 14번지,"서울특별시 성동구 고산자로 269, 4층 441호 (도선동, 신한넥스텔)",02-2295-8123,,지방자치단체,영업중
2017-서울특별시 성북구-00006,대부제일사전당포,,본점,금전대부,2003.02.11~2026.04.14,이배구,서울특별시 성북구 길음동 877번지 182호,서울특별시 성북구 동소문로 225 (길음동),02-912-2934,,지방자치단체,영업중
2017-서울특별시 성북구-00007,동신사전당포대부,,본점,금전대부,2003.02.11~2026.03.08,이상호,서울특별시 성북구 정릉동 403번지 9호 202호,"서울특별시 성북구 보국문로 40-3, 202호 (정릉동)",914-0300,,지방자치단체,영업중
2011-서울송파-0082(대부업),대건대부,,본점,금전대부,2022.10.28~2025.10.28,김두수,서울특별시 송파구 잠실동 307번지 지하,"서울특별시 송파구 백제고분로12길 21, 지하층 (잠실동)",010-3703-8534,,지방자치단체,영업중
2014-서울양천-00011(대부업),오성사전당포대부,,본점,금전대부,2022.12.06~2025.12.06,"박종오,박종오",서울특별시 양천구 신정동 992번지 1호 삼양상가 211-2호,"서울특별시 양천구 오목로 232 (신정동,삼양상가 211-2호)",02-2691-7087,"02-2691-7087, 02-2648-2959",지방자치단체,영업중
2014-서울양천-00022(대부업),금명사전당포대부,,본점,금전대부,2022.12.06~2025.12.06,김기두,서울특별시 양천구 978번지 14호 2층,"서울특별시 양천구 신월로 333, 2층 (신정동)",02-2693-3664,,지방자치단체,영업중
2013-서울영등포-0518(대부업),우성사전당포대부,,본점,금전대부,2025.02.17~2028.02.17,송필수,서울특별시 영등포구 신길동 364번지 건영아파트상가 304-가호,"서울특별시 영등포구 도림로 323, 건영아파트상가 304-가호 (신길동)",02-845-1331,02-845-1331,지방자치단체,영업중
2014-서울영등포-0555(대부업),캐쉬프랜드전당포대부,,본점,금전대부,2022.12.27~2025.12.27,김원분,서울특별시 영등포구 당산동6가 306-1 그린빌 3층 301호,"서울특별시 영등포구 당산로 237, 그린빌 3층 301호 (당산동6가)",02-2633-1913,"02-2633-1913, 010-8862-1913",지방자치단체,영업중
2014-서울영등포-0542(대부업),대호사전당포대부,,본점,금전대부,2022.12.06~2025.12.06,윤명순,서울특별시 영등포구 영등포동3가 10번지 13호,"서울특별시 영등포구 영중로 2, 3층 (영등포동3가)",02-2678-5252,02-2678-5252,지방자치단체,영업중
2011-서울영등포-0231(대부업),한신사전당포대부,,본점,금전대부,2023.05.04~2026.05.04,이민순,서울특별시 영등포구 여의도동 35-5 여의도종합상가 317호,"서울특별시 영등포구 여의나루로 42, 317호 (여의도동, 여의도종합상가)",02-783-8384,,지방자치단체,영업중
2011-서울영등포-0223(대부업),양남사대부,,본점,금전대부,2023.04.19~2026.04.19,김선욱,서울특별시 영등포구 양평동1가 9-1 3층,"서울특별시 영등포구 영등포로 88-1, 3층 (양평동1가)",02-2678-0300,,지방자치단체,영업중
2011-서울용산-00035,로얄사대부업,,본점,금전대부,2023.05.10~2026.05.10,김상수,서울특별시 용산구 이촌동 301-10 로얄상가 203호,"서울특별시 용산구 이촌로 245, 203호 (이촌동, 로얄상가)",02-793-6400,"02-797-6693, 010-5306-9993, 02-793-6400,010-5258-9549",지방자치단체,영업중
2011-서울은평-00134(대부업),부광기획대부,,본점,금전대부,2023.03.07~2026.03.07,박일섭,서울특별시 은평구 역촌동 9번지 8호 2층,"서울특별시 은평구 연서로 90, 2층 (역촌동)",02-372-6788,"02-372-6788, 010-8358-7000, 010-2218-6788",지방자치단체,영업중
2011-서울은평-00127(대부업),연서사대부,,본점,금전대부,2023.02.14~2026.02.14,이종철,서울특별시 은평구 불광동 311번지 3호 3층,"서울특별시 은평구 통일로 858, 3층 (불광동)",02-355-8554,02-355-8554,지방자치단체,영업중
2011-서울은평-00165(대부업),현대사대부,,본점,금전대부,2023.04.17~2026.04.17,송종익,서울특별시 은평구 불광동 274번지 11호 2층 15호,"서울특별시 은평구 통일로 738, 2층 15호 (불광동)",02-359-1256,02-359-1256,지방자치단체,영업중
2011-서울종로-00093(대부업),삼일캐피탈대부,,본점,금전대부,2023.05.09~2026.05.09,심한섭,서울특별시 종로구 인사동 43번지 대일빌딩,"서울특별시 종로구 인사동길 12, 대일빌딩 1107호 (인사동)",02-732-4912,"734-8866, 738-7722, 734-8867",지방자치단체,영업중
2011-서울종로-00096(대부업),이여옥대부,,본점,금전대부,2023.04.28~2026.04.28,이여옥,서울특별시 종로구 낙원동 187번지 401호,"서울특별시 종로구 수표로22길 18, 401호 (낙원동, 대한빌딩)",02-546-0623,,지방자치단체,영업중
2014-서울중구-0102(대부업),호성사전당포대부,,본점,금전대부,2023.05.12~2026.05.12,박길환,서울특별시 중구 황학동 712번지,"서울특별시 중구 퇴계로 441-1, 3층 (황학동)",02-2232-7169,"02-2232-7169, 010-6668-5498",지방자치단체,영업중
2014-서울중구-0079(대부업),흥일사대부전당포,,본점,금전대부,2023.03.14~2026.03.14,이한섭,서울특별시 중구 황학동 732,"서울특별시 중구 퇴계로 427-2, 3층 (황학동)",02-2235-2970,02-2235-2970,지방자치단체,영업중
2017-서울중구-0023(대부업),(주)아주파이낸스대부,110111-1338931,본점,금전대부,2023.01.19~2026.01.19,김기주,서울특별시 중구 을지로2가 195번지 3호 한양빌딩 506호,"서울특별시 중구 명동9길 23, 506호 (을지로2가, 한양빌딩)",02-775-0049,02-775-0049,지방자치단체,영업중
2014-서울중구-0099(대부업),광희사전당포대부,,본점,금전대부,2023.05.12~2026.05.12,김상범,서울특별시 중구 광희동2가 12번지 1호,"서울특별시 중구 장충단로 224, 3층 (광희동2가)",02-2279-9445,,지방자치단체,영업중
2014-서울중구-0047(대부업),동후개발대부,,본점,금전대부,2023.01.19~2026.01.19,김동혁,서울특별시 중구 을지로2가 101-28 봉산빌딩,"서울특별시 중구 을지로9길 8, 봉산빌딩 501호 (을지로2가)",02-775-0330,02-775-0330,지방자치단체,영업중
2014-서울중구-0050(대부중개업),한빛실업대부중개,,본점,대부중개,2023.01.27~2026.01.27,최진문,서울특별시 중구 을지로2가 199-41,"서울특별시 중구 명동7길 19, 중원빌딩 705호 (을지로2가)",02-3789-5508,02-3789-5508,지방자치단체,영업중
2002-울산광역시-00009(대부업),한신대부,,본점,금전대부,2023.07.06~2026.07.05,이상덕,,"울산광역시 남구 팔등로 23, 201호 (신정동)",010-3573-5350,,지방자치단체,영업중
2009-강원강릉-0023,대흥대부,,본점,금전대부,2023.01.17~2026.01.17,김영진,강원특별자치도 강릉시 옥천동 321-4번지 3층,"강원특별자치도 강릉시 옥가로58번길 11, 3층 (옥천동)",033 648 2672,"033-648-2672, 010-5378-1705",지방자치단체,영업중
경기-411호,김포사전당포대부,,본점,금전대부,2023.06.19~2026.06.19,박복진,경기도 김포시 북변동 376번지 10호 3층,"경기도 김포시 북변중로 62, 3층 (북변동)",031-984-5714,031-984-5714,지방자치단체,영업중
경기북부-109(남양주),금곡사대부전당포,,본점,금전대부,2023.01.17~2026.01.17,김민규,경기도 남양주시 금곡동 404번지 61호,"경기도 남양주시 금곡로 33, 2층 (금곡동)",031-591-5753,031-591-5753,지방자치단체,영업중
2017-경기성남-0042,강남파이낸스전당포대부,,본점,금전대부,2023.03.14~2026.03.14,이원백,경기도 성남시분당구 야탑동 367번지 6호 노블리치2 오피스텔 303호,"경기도 성남시 분당구 야탑로 103, 303호 (야탑동,노블리치2 오피스텔)",031-705-1177,031-705-1177,지방자치단체,영업중
2013-경기안산-0438,어음톡대부,,본점,금전대부,2023.03.09~2026.03.09,송승욱,경기도 안산시 단원구 원곡동 994번지 6호 트리플렉스,"경기도 안산시 단원구 풍전로 37-9, 트리플렉스 308동 122호 (원곡동)",031-494-6622,"031-494-6622, 031-495-3101",지방자치단체,영업중
경기-532호,평촌사전당포대부,,본점,금전대부,2023.02.24~2026.02.23,이강희,경기도 안양시 동안구 호계동 1046번지 6호 아트타워빌딩 5층 508-1호,"경기도 안양시 동안구 평촌대로223번길 49, 아트타워빌딩 5층 508-1호 (호계동)",031-384-6237,031-384-6237,지방자치단체,영업중
경기-602호,영진사전당포대부,,본점,금전대부,2023.02.27~2026.02.26,명영훈,경기도 안양시 만안구 안양동 676번지 106호,경기도 안양시 만안구 안양로291번길 3 (안양동),031-466-6932,,지방자치단체,영업중
경기-995,경문사전당포대부,,본점,금전대부,2023.03.07~2026.03.06,명상희,경기도 안양시 만안구 안양동 676-141,"경기도 안양시 만안구 안양로 281, 3층 (안양동)",031-444-5530,031-444-5530,지방자치단체,영업중
2023-경기오산-0001,오산사전당포대부,,본점,금전대부,2023.02.20~2026.02.20,박준연,경기도 오산시 오산동 857번지 16호,경기도 오산시 오산로 269 (오산동),031-374-4465,031-374-4465,지방자치단체,영업중
2008-경기평택-194,중앙사전당포대부,,본점,금전대부,2023.05.10~2026.05.10,김재호,경기도 평택시 평택동 62번지 7호,경기도 평택시 평택로 54 (평택동),"031-652-0184,010-9374-9326",,지방자치단체,영업중
2003-경남함안-15,호경대부,,본점,금전대부,2023.06.08~2026.06.07,김원호,경상남도 함안군 군북면 중암리 131번지 1호 무학아파트 1202호,"경상남도 함안군 군북면 중암4길 47-1, 1202호 (무학아파트)",055-585-7475,,지방자치단체,영업중
2011-경북포항-12(대부),천일전당포대부,,본점,금전대부,2008.09.01~2026.06.12,황보석진,경상북도 포항시 남구 오천읍 세계리 802번지 21호 802-21,경상북도 포항시 남구 오천읍 정몽주로 552-3,054-292-2854,,지방자치단체,영업중
2011-경북포항-13(대부),돌문전당포대부,,본점,금전대부,2008.09.01~2026.05.11,이영애,경상북도 포항시 남구 구룡포읍 구룡포리 708번지 50호 708-50,경상북도 포항시 남구 구룡포읍 구룡포길 80,054-284-2006,054-284-2006,지방자치단체,영업중
2011-경북포항-15(대부),만물전당포대부,,본점,금전대부,2008.09.01~2026.07.12,박종환,경상북도 포항시북구 죽도동 597번지 8호,경상북도 포항시 북구 죽도시장4길 3-1 (죽도동),054-244-1909,,지방자치단체,영업중
2011-경북포항-15(대부),제일전당포대부,,본점,금전대부,2008.09.01~2026.06.12,김정구,경상북도 포항시 북구 죽도동 135번지 168호,경상북도 포항시 북구 칠성천길 97-1 (죽도동),054 -242-2777,,지방자치단체,영업중
2011-경북포항-14(대부),동해전당포대부,,본점,금전대부,2008.09.01~2026.06.12,정치화,경상북도 포항시북구 죽도동 42번지 1호,경상북도 포항시 북구 중앙로 241 (죽도동),054-247-1731,"054-247-1731, 010-5899-7322",지방자치단체,영업중
2017-대구달서구-0078,장기전당포 대부업,,본점,금전대부,2023.02.13~2026.02.13,최종우,대구광역시 달서구 장기동 816번지 4호 816-4,대구광역시 달서구 장기로 285 (장기동),"(053)524-2894, 010-5524-2894",,지방자치단체,영업중
2017-대구달서구-0050,두류전당포대부,,본점,금전대부,2023.03.20~2026.03.20,표순복,대구광역시 달서구 두류동 108번지 11호,"대구광역시 달서구 파도고개로 223, 1층 (두류동)",053-628-3513,,지방자치단체,영업중
2003-대구중구-0122,골든캐쉬전당포대부,,본점,금전대부,2023.02.07~2026.02.06,서민수,대구광역시 중구 포정동 39번지 5호,"대구광역시 중구 국채보상로 557, 3층 (포정동)",053-764-0606,"764-0606, 010-3889-7182",지방자치단체,영업중
2003-대구중구-0083,신신전당포대부,,본점,금전대부,2023.03.09~2026.03.08,장순애,대구광역시 중구 향촌동 31-1,대구광역시 중구 서성로14길 105-9 (향촌동),053-257-0679,,지방자치단체,영업중
2003-대구중구-0082,동성로전당포대부,,본점,금전대부,2023.04.13~2026.04.12,장명숙,대구광역시 중구 포정동 74-1,대구광역시 중구 중앙대로 434-10 (포정동),053-427-2624,,지방자치단체,영업중
대전-196,거호컨설팅대부,,본점,금전대부,2003.03.08~2026.05.14,이상길,대전광역시 서구 둔산동 1393번지 청우빌딩603호,"대전광역시 서구 둔산중로78번길 36, 603호 (둔산동,청우빌딩)",042-488-1174,042-488-1174,지방자치단체,영업중
대전-76,디앤디캐피탈대부,,본점,금전대부,2003.02.03~2026.05.08,김순덕,대전광역시 서구 둔산동 915번지 청사오피스텔607호,"대전광역시 서구 청사로 228, 607호 (둔산동,청사오피스텔)",042-486-1382,010-9475-1384,지방자치단체,영업중
대전-123,세진크레딧대부,,본점,금전대부,2003.02.12~2026.07.04,진국권,대전광역시 서구 복수동 284번지,대전광역시 서구 오량2길 3 (복수동),010-4401-3095,,지방자치단체,영업중
대전-324,청우실업대부,,본점,금전대부,2003.10.11~2026.05.03,김애진,대전광역시 서구 갈마동 768번지 101호,"대전광역시 서구 계룡로367번길 99, 101호 (갈마동)",042-472-4907,,지방자치단체,영업중
2003-부산 금정구-00681,장전전당포대부,,본점,금전대부,2023.04.21~2026.04.21,이양임,부산광역시 금정구 장전동 653번지 15호,부산광역시 금정구 식물원로27번길 51 (장전동),051-582-2221,,지방자치단체,영업중
2023-부산기장-0004,현대전당포대부,,본점,금전대부,2023.05.02~2026.05.02,신정렬,부산광역시 기장군 장안읍 좌천리 247-9,부산광역시 기장군 장안읍 좌천로 54-1,051-727-0079,,지방자치단체,영업중
2017-부산남구-07018,보림전당포대부업,,본점,금전대부,2023.04.27~2026.04.27,문성관,부산광역시 남구 감만동 89-5,"부산광역시 남구 우암로 75-1, 1층 (감만동)",051-634-0054,051-634-0054,지방자치단체,영업중
2017-부산남구-07017,성림전당포대부,,본점,금전대부,2023.04.27~2026.04.27,구정구,부산광역시 남구 대연동 358-5,"부산광역시 남구 수영로250번길 87, 2층 (대연동)",051-622-2194,051-622-2194,지방자치단체,영업중
2003-부산동래구-00740,진영전당포대부,,본점,금전대부,2023.05.10~2026.05.10,방인구,부산광역시 동래구 온천동 1468번지 1호,부산광역시 동래구 여고북로123번나길 36-3 (온천동),051-504-4173,,지방자치단체,영업중
2003-부산 부산진구-00470,신진전당포 대부,,본점,금전대부,2023.03.28~2026.03.28,김경호,부산광역시 부산진구 275번지 2호 2층,"부산광역시 부산진구 가야대로588번길 9, 2층 (가야동)",051-891-8619,,지방자치단체,영업중
2003-부산 부산진구-01012,서면전당포대부,,본점,금전대부,2023.06.12~2026.06.12,류향자,부산광역시 부산진구 부전동 255번지 42호,"부산광역시 부산진구 중앙대로 701-4, 4층 (부전동)",051-806-0502,,지방자치단체,영업중
2003-부산 부산진구-01066,양정전당포 대부,,본점,금전대부,2023.06.12~2026.06.12,오경희,부산광역시 부산진구 양정동 352-1,부산광역시 부산진구 양지로5번길 53 (양정동),010-5775-3423,,지방자치단체,영업중
2003-부산 북구-01080,명성전당포대부,,본점,금전대부,2022.11.21~2025.11.20,이용섭,부산광역시 북구 구포동 614-55,부산광역시 북구 구포시장길 67 (구포동),051-332-1908,051-332-1908,지방자치단체,영업중
2003-부산 북구-01093,동광전당포대부,,본점,금전대부,2023.01.18~2026.01.18,장인식,부산광역시 북구 구포동 1060번지 397호,부산광역시 북구 낙동대로 1692 (구포동),051-332-7002,051-332-7002,지방자치단체,영업중
2003-부산사상구-00033,사상전당포대부,,본점,금전대부,2023.04.03~2026.04.03,이영란,부산광역시 사상구 괘법동 523번지 14호,부산광역시 사상구 사상로 247 (괘법동),051-323-3639,051-323-3639,지방자치단체,영업중
2003-부산사상구-00990,대륙전당포대부,,본점,금전대부,2023.01.20~2026.01.20,황선진,부산광역시 사상구 주례동 1162번지 65호,부산광역시 사상구 가야대로 274-7 (주례동),051-328-9170,051-328-9170,지방자치단체,영업중
2011-부산서구-02018,충무전당포대부,,본점,금전대부,2023.05.16~2026.05.16,박차흠,부산광역시 서구 충무동2가 1번지 12호,"부산광역시 서구 충무시장길 18-4, 2층 (충무동2가)",051-254-4419,,지방자치단체,영업중
2011-부산 수영구-00783,남천전당포대부,,본점,금전대부,2023.04.13~2026.04.13,김정태,부산광역시 수영구 남천동 23번지 2호,부산광역시 수영구 수영로394번길 22 (남천동),051-624-9542,,지방자치단체,영업중
2003-부산연제구-01124,연일전당포대부,,본점,금전대부,2023.03.30~2026.03.30,안정인,부산광역시 연제구 연산동 639번지 28호,부산광역시 연제구 고분로32번길 19 (연산동),051-861-1997,051-861-1997,지방자치단체,영업중
2011-부산영도구-04014,해동전당포대부,,본점,금전대부,2023.07.09~2026.07.08,백수옥,부산광역시 영도구 영선동1가 1번지 3호 1통 1반,부산광역시 영도구 절영로13번길 56 (영선동1가),051-413-7964,"051-413-7964, 010-3859-7964",지방자치단체,영업중
2011-부산영도구-04016,시민전당포대부,,본점,금전대부,2023.07.09~2026.07.08,이연자,부산광역시 영도구 대교동2가 131번지 영일@108호,"부산광역시 영도구 태종로 92 (대교동2가,영일@108호)",051-412-1009,"051-412-1009, 010-7478-1009",지방자치단체,영업중
2003-부산 영도구-00074,남항전당포대부,,본점,금전대부,2023.07.09~2026.07.08,김헌식,부산광역시 영도구 남항동1가 125번지,부산광역시 영도구 남항로19번길 5 (남항동1가),0514128389,,지방자치단체,영업중
2003-부산 중구-00830,대부삼정전당포,,본점,금전대부,2023.04.28~2026.04.28,김영로,부산광역시 중구 남포동5가 36번지 11호,부산광역시 중구 구덕로 64-13 (남포동5가),0512543948,,지방자치단체,영업중
